INSERT INTO `productos`(`id_producto`, `nombre_producto`, `precio_producto`, `stock_producto`, `cantidadComprada`, `categoria_id`, `deporte_id`, `marca_id`) VALUES 
(NULL,'Zapatillas de Básquet Jordan', 70000, 35, 100, 14, 3, 6),
(NULL,'Bicicleta de Triatlón Cervelo', 220000, 5, 8, 26, 16, 9),
(NULL,'Gafas de Natación Arena', 22000, 60, 300, 39, 15, 9),
(NULL,'Banda Elástica de Resistencia Theraband', 15000, 100, 200, 29, 14, 9),
(NULL,'Guantes de Boxeo Twins Special', 47000, 25, 70, 31, 13, 9),
(NULL,'Pantalón de Running Salomon', 38000, 40, 140, 2, 14, 9),
(NULL,'Camiseta de Fútbol River Plate', 55000, 80, 280, 1, 1, 9),
(NULL,'Malla de Natación Adidas', 29000, 70, 200, 7, 15, 1),
(NULL,'Camiseta de Básquet Golden State Warriors', 47000, 45, 160, 1, 3, 9),
(NULL,'Zapatillas de Fútbol Nike', 67000, 40, 220, 14, 1, 9),
(NULL,'Casco de Bicicleta Specialized', 46000, 30, 120, 24, 16, 9),
(NULL,'Gafas de Sol Deportivas Oakley', 65000, 20, 80, 11, 16, 9),
(NULL,'Raqueta de Squash Dunlop', 43000, 35, 150, 20, 5, 9),
(NULL,'Zapatillas de Running Hoka One One', 72000, 25, 90, 14, 14, 9),
(NULL,'Pelota de Golf Titleist', 60000, 50, 300, 19, 9, 9),
(NULL,'Zapatillas de Fútbol Puma', 64000, 45, 210, 14, 1, 10),
(NULL,'Zapatillas de Running Nike', 70000, 30, 110, 14, 14, 9),
(NULL,'Guantes de Portero Adidas', 32000, 35, 140, 23, 1, 1),
(NULL,'Campera de Esquí The North Face', 85000, 20, 50, 8, 17, 12),
(NULL,'Set de Esquí Rossignol', 240000, 5, 15, 35, 17, 9),
(NULL,'Pantalón de Escalada Prana', 36000, 25, 90, 2, 16, 9),
(NULL,'Chaleco Salvavidas Sevylor', 78000, 10, 30, 4, 14, 9),
(NULL,'Casco de Bicicleta Bell', 45000, 30, 110, 24, 16, 9),
(NULL,'Campera de Running Asics', 50000, 35, 100, 8, 14, 2),
(NULL,'Zapatillas de Trail Running La Sportiva', 74000, 20, 70, 14, 14, 9),
(NULL,'Medias de Compresión Nike', 21000, 80, 150, 13, 14, 9),
(NULL,'Camiseta de Fútbol Adidas', 54000, 75, 250, 1, 1, 1),
(NULL,'Guantes de Ciclismo Gore', 28000, 45, 130, 11, 16, 9),
(NULL,'Zapatillas de Running Mizuno', 66000, 25, 110, 14, 14, 9),
(NULL,'Gorra de Ciclismo Castelli', 18000, 60, 150, 17, 16, 9),
(NULL,'Camiseta de Running Asics', 29000, 50, 170, 1, 14, 2),
(NULL,'Gafas de Natación Speedo', 21000, 55, 240, 39, 15, 9),
(NULL,'Pantalón de Tenis Lacoste', 32000, 35, 100, 2, 5, 9),
(NULL,'Banda Elástica de Resistencia Rogue', 16000, 85, 230, 29, 14, 9),
(NULL,'Pelota de Básquet Wilson', 43000, 45, 190, 19, 3, 14),
(NULL,'Zapatillas de Fútbol Nike', 67000, 45, 200, 14, 1, 9),
(NULL,'Campera de Ciclismo Castelli', 65000, 30, 90, 8, 16, 9),
(NULL,'Guantes de Boxeo Cleto Reyes', 49000, 25, 80, 31, 13, 9),
(NULL,'Pantalón de Running Nike', 34000, 40, 150, 2, 14, 9),
(NULL,'Mochila Deportiva Under Armour', 33000, 40, 160, 34, 14, 13),
(NULL,'Short de Fútbol Nike', 31000, 60, 170, 5, 1, 9);
